model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,af_za,?,22,32,0.951472,264
whisper-large-v3,af_za,?,23,32,0.944061,264
whisper-large-v3,af_za,?,24,32,0.936546,264
whisper-large-v3,af_za,?,25,32,0.922215,264
whisper-large-v3,af_za,?,26,32,0.919974,264
whisper-large-v3,af_za,?,27,32,0.908383,264
whisper-large-v3,af_za,?,28,32,0.890506,264
whisper-large-v3,af_za,?,29,32,0.902989,264
whisper-large-v3,af_za,?,30,32,0.900348,264
whisper-large-v3,af_za,?,31,32,0.896169,264
whisper-large-v3,af_za,?,32,32,0.897646,264
whisper-large-v3,is_is,?,1,32,0.967857,264
whisper-large-v3,is_is,?,2,32,0.93642,264
whisper-large-v3,is_is,?,3,32,0.952376,264
whisper-large-v3,is_is,?,4,32,0.944184,264
whisper-large-v3,is_is,?,5,32,0.933546,264
whisper-large-v3,is_is,?,6,32,0.958911,264
whisper-large-v3,is_is,?,7,32,0.944804,264
whisper-large-v3,is_is,?,8,32,0.92214,264
whisper-large-v3,is_is,?,9,32,0.926731,264
whisper-large-v3,is_is,?,10,32,0.921745,264
whisper-large-v3,is_is,?,11,32,0.963317,264
whisper-large-v3,is_is,?,12,32,0.941723,264
whisper-large-v3,is_is,?,13,32,0.932264,264
whisper-large-v3,is_is,?,14,32,0.95737,264
whisper-large-v3,is_is,?,15,32,0.932998,264
whisper-large-v3,is_is,?,16,32,0.952732,264
whisper-large-v3,is_is,?,17,32,0.956614,264
whisper-large-v3,is_is,?,18,32,0.943188,264
whisper-large-v3,is_is,?,19,32,0.952795,264
whisper-large-v3,is_is,?,20,32,0.949528,264
whisper-large-v3,is_is,?,21,32,0.955433,264
whisper-large-v3,is_is,?,22,32,0.946881,264
whisper-large-v3,is_is,?,23,32,0.940027,264
whisper-large-v3,is_is,?,24,32,0.930946,264
whisper-large-v3,is_is,?,25,32,0.915343,264
whisper-large-v3,is_is,?,26,32,0.913013,264
whisper-large-v3,is_is,?,27,32,0.899346,264
whisper-large-v3,is_is,?,28,32,0.880468,264
whisper-large-v3,is_is,?,29,32,0.892398,264
whisper-large-v3,is_is,?,30,32,0.891772,264
whisper-large-v3,is_is,?,31,32,0.887665,264
whisper-large-v3,is_is,?,32,32,0.891674,264
whisper-large-v3,sw_ke,nontonal_mid,1,32,0.971555,264
whisper-large-v3,sw_ke,nontonal_mid,2,32,0.931606,264
whisper-large-v3,sw_ke,nontonal_mid,3,32,0.950683,264
whisper-large-v3,sw_ke,nontonal_mid,4,32,0.941157,264
whisper-large-v3,sw_ke,nontonal_mid,5,32,0.932766,264
whisper-large-v3,sw_ke,nontonal_mid,6,32,0.955971,264
whisper-large-v3,sw_ke,nontonal_mid,7,32,0.942357,264
whisper-large-v3,sw_ke,nontonal_mid,8,32,0.918782,264
whisper-large-v3,sw_ke,nontonal_mid,9,32,0.926371,264
whisper-large-v3,sw_ke,nontonal_mid,10,32,0.918303,264
whisper-large-v3,sw_ke,nontonal_mid,11,32,0.962103,264
whisper-large-v3,sw_ke,nontonal_mid,12,32,0.939019,264
whisper-large-v3,sw_ke,nontonal_mid,13,32,0.930743,264
whisper-large-v3,sw_ke,nontonal_mid,14,32,0.957997,264
whisper-large-v3,sw_ke,nontonal_mid,15,32,0.933963,264
whisper-large-v3,sw_ke,nontonal_mid,16,32,0.952596,264
whisper-large-v3,sw_ke,nontonal_mid,17,32,0.956905,264
whisper-large-v3,sw_ke,nontonal_mid,18,32,0.943329,264
whisper-large-v3,sw_ke,nontonal_mid,19,32,0.953127,264
whisper-large-v3,sw_ke,nontonal_mid,20,32,0.950889,264
whisper-large-v3,sw_ke,nontonal_mid,21,32,0.955362,264
whisper-large-v3,sw_ke,nontonal_mid,22,32,0.9458,264
whisper-large-v3,sw_ke,nontonal_mid,23,32,0.943485,264
whisper-large-v3,sw_ke,nontonal_mid,24,32,0.932823,264
whisper-large-v3,sw_ke,nontonal_mid,25,32,0.916562,264
whisper-large-v3,sw_ke,nontonal_mid,26,32,0.917705,264
whisper-large-v3,sw_ke,nontonal_mid,27,32,0.898685,264
whisper-large-v3,sw_ke,nontonal_mid,28,32,0.875692,264
whisper-large-v3,sw_ke,nontonal_mid,29,32,0.888715,264
whisper-large-v3,sw_ke,nontonal_mid,30,32,0.890071,264
whisper-large-v3,sw_ke,nontonal_mid,31,32,0.886297,264
whisper-large-v3,sw_ke,nontonal_mid,32,32,0.890639,264
